raceId,year,round,driverId,constructorId,grid,positionOrder,points,status,is_winner,EventName,Location,Abbreviation,driver_wins_cum,driver_races_cum,driver_win_rate,position_numeric,driver_recent_form,constructor_wins_cum,constructor_races_cum,constructor_win_rate,constructor_recent_points,location_id,constructor_id_enc,driver_id_enc,regulation_change
2023_3,2023,3,de_vries,AlphaTauri,15.0,15.0,0.0,Retired,0,Australian Grand Prix,Melbourne,DEV,0,2,0.0,15.0,14.0,0,5,0.0,0.3333333333333333,7,1,5,0
2023_3,2023,3,sargeant,Williams,18.0,16.0,0.0,Retired,0,Australian Grand Prix,Melbourne,SAR,0,2,0.0,16.0,14.0,0,4,0.0,0.0,7,11,21,0
2023_3,2023,3,kevin_magnussen,Haas F1 Team,14.0,17.0,0.0,Retired,0,Australian Grand Prix,Melbourne,MAG,0,2,0.0,17.0,11.5,0,5,0.0,2.3333333333333335,7,5,10,0
2023_3,2023,3,russell,Mercedes,2.0,18.0,0.0,Retired,0,Australian Grand Prix,Melbourne,RUS,0,2,0.0,18.0,5.5,0,5,0.0,13.333333333333334,7,8,19,0
2023_3,2023,3,albon,Williams,8.0,19.0,0.0,Retired,0,Australian Grand Prix,Melbourne,ALB,0,2,0.0,19.0,14.5,0,5,0.0,0.0,7,11,0,0
2023_3,2023,3,leclerc,Ferrari,7.0,20.0,0.0,Retired,0,Australian Grand Prix,Melbourne,LEC,0,2,0.0,20.0,13.0,0,5,0.0,4.666666666666667,7,4,12,0
2023_5,2023,5,max_verstappen,Red Bull Racing,9.0,1.0,26.0,Finished,1,Miami Grand Prix,Miami,VER,2,3,0.6666666666666666,1.0,1.3333333333333333,3,6,0.5,18.333333333333332,9,10,13,0
2023_5,2023,5,perez,Red Bull Racing,1.0,2.0,18.0,Finished,0,Miami Grand Prix,Miami,PER,1,3,0.3333333333333333,2.0,2.6666666666666665,4,7,0.5714285714285714,20.666666666666668,9,10,16,0
2023_5,2023,5,alonso,Aston Martin,2.0,3.0,15.0,Finished,0,Miami Grand Prix,Miami,ALO,0,3,0.0,3.0,3.0,0,6,0.0,9.0,9,3,1,0
2023_5,2023,5,russell,Mercedes,6.0,4.0,12.0,Finished,0,Miami Grand Prix,Miami,RUS,0,3,0.0,4.0,9.666666666666666,0,6,0.0,9.333333333333334,9,8,19,0
2023_5,2023,5,sainz,Ferrari,3.0,5.0,10.0,Finished,0,Miami Grand Prix,Miami,SAI,0,3,0.0,5.0,7.333333333333333,0,6,0.0,2.0,9,4,20,0
2023_5,2023,5,hamilton,Mercedes,13.0,6.0,8.0,Finished,0,Miami Grand Prix,Miami,HAM,0,3,0.0,6.0,4.0,0,7,0.0,10.0,9,8,8,0
2023_5,2023,5,leclerc,Ferrari,7.0,7.0,6.0,Finished,0,Miami Grand Prix,Miami,LEC,0,3,0.0,7.0,15.333333333333334,0,7,0.0,3.3333333333333335,9,4,12,0
