raceId,year,round,driverId,constructorId,grid,positionOrder,points,status,is_winner,EventName,Location,Abbreviation
2023_5,2023,5,tsunoda,AlphaTauri,17.0,11.0,0.0,Finished,0,Miami Grand Prix,Miami,TSU
2023_5,2023,5,stroll,Aston Martin,18.0,12.0,0.0,Finished,0,Miami Grand Prix,Miami,STR
2023_5,2023,5,bottas,Alfa Romeo,10.0,13.0,0.0,Finished,0,Miami Grand Prix,Miami,BOT
2023_5,2023,5,albon,Williams,11.0,14.0,0.0,Finished,0,Miami Grand Prix,Miami,ALB
2023_5,2023,5,hulkenberg,Haas F1 Team,12.0,15.0,0.0,Finished,0,Miami Grand Prix,Miami,HUL
2023_5,2023,5,zhou,Alfa Romeo,14.0,16.0,0.0,Finished,0,Miami Grand Prix,Miami,ZHO
2023_5,2023,5,norris,McLaren,16.0,17.0,0.0,Finished,0,Miami Grand Prix,Miami,NOR
2023_5,2023,5,de_vries,AlphaTauri,15.0,18.0,0.0,Finished,0,Miami Grand Prix,Miami,DEV
2023_5,2023,5,piastri,McLaren,19.0,19.0,0.0,Lapped,0,Miami Grand Prix,Miami,PIA
2023_5,2023,5,sargeant,Williams,20.0,20.0,0.0,Lapped,0,Miami Grand Prix,Miami,SAR
2023_6,2023,6,max_verstappen,Red Bull Racing,1.0,1.0,25.0,Finished,1,Monaco Grand Prix,Monaco,VER
2023_6,2023,6,alonso,Aston Martin,2.0,2.0,18.0,Finished,0,Monaco Grand Prix,Monaco,ALO
2023_6,2023,6,ocon,Alpine,3.0,3.0,15.0,Finished,0,Monaco Grand Prix,Monaco,OCO
2023_6,2023,6,hamilton,Mercedes,5.0,4.0,13.0,Finished,0,Monaco Grand Prix,Monaco,HAM
2023_6,2023,6,russell,Mercedes,8.0,5.0,10.0,Finished,0,Monaco Grand Prix,Monaco,RUS
2023_6,2023,6,leclerc,Ferrari,6.0,6.0,8.0,Finished,0,Monaco Grand Prix,Monaco,LEC
2023_6,2023,6,gasly,Alpine,7.0,7.0,6.0,Finished,0,Monaco Grand Prix,Monaco,GAS
2023_6,2023,6,sainz,Ferrari,4.0,8.0,4.0,Finished,0,Monaco Grand Prix,Monaco,SAI
2023_6,2023,6,norris,McLaren,10.0,9.0,2.0,Lapped,0,Monaco Grand Prix,Monaco,NOR
2023_6,2023,6,piastri,McLaren,11.0,10.0,1.0,Lapped,0,Monaco Grand Prix,Monaco,PIA
2023_6,2023,6,bottas,Alfa Romeo,15.0,11.0,0.0,Lapped,0,Monaco Grand Prix,Monaco,BOT
2023_6,2023,6,de_vries,AlphaTauri,12.0,12.0,0.0,Lapped,0,Monaco Grand Prix,Monaco,DEV
2023_6,2023,6,zhou,Alfa Romeo,19.0,13.0,0.0,Lapped,0,Monaco Grand Prix,Monaco,ZHO
2023_6,2023,6,albon,Williams,13.0,14.0,0.0,Lapped,0,Monaco Grand Prix,Monaco,ALB
2023_6,2023,6,tsunoda,AlphaTauri,9.0,15.0,0.0,Lapped,0,Monaco Grand Prix,Monaco,TSU
2023_6,2023,6,perez,Red Bull Racing,20.0,16.0,0.0,Lapped,0,Monaco Grand Prix,Monaco,PER
2023_6,2023,6,hulkenberg,Haas F1 Team,18.0,17.0,0.0,Lapped,0,Monaco Grand Prix,Monaco,HUL
2023_6,2023,6,sargeant,Williams,16.0,18.0,0.0,Lapped,0,Monaco Grand Prix,Monaco,SAR
2023_6,2023,6,kevin_magnussen,Haas F1 Team,17.0,19.0,0.0,Retired,0,Monaco Grand Prix,Monaco,MAG
2023_6,2023,6,stroll,Aston Martin,14.0,20.0,0.0,Retired,0,Monaco Grand Prix,Monaco,STR
2023_7,2023,7,max_verstappen,Red Bull Racing,1.0,1.0,26.0,Finished,1,Spanish Grand Prix,Barcelona,VER
2023_7,2023,7,hamilton,Mercedes,4.0,2.0,18.0,Finished,0,Spanish Grand Prix,Barcelona,HAM
2023_7,2023,7,russell,Mercedes,12.0,3.0,15.0,Finished,0,Spanish Grand Prix,Barcelona,RUS
2023_7,2023,7,perez,Red Bull Racing,11.0,4.0,12.0,Finished,0,Spanish Grand Prix,Barcelona,PER
2023_7,2023,7,sainz,Ferrari,2.0,5.0,10.0,Finished,0,Spanish Grand Prix,Barcelona,SAI
2023_7,2023,7,stroll,Aston Martin,5.0,6.0,8.0,Finished,0,Spanish Grand Prix,Barcelona,STR
2023_7,2023,7,alonso,Aston Martin,8.0,7.0,6.0,Finished,0,Spanish Grand Prix,Barcelona,ALO
2023_7,2023,7,ocon,Alpine,6.0,8.0,4.0,Finished,0,Spanish Grand Prix,Barcelona,OCO
2023_7,2023,7,zhou,Alfa Romeo,13.0,9.0,2.0,Finished,0,Spanish Grand Prix,Barcelona,ZHO
2023_7,2023,7,gasly,Alpine,10.0,10.0,1.0,Finished,0,Spanish Grand Prix,Barcelona,GAS
2023_7,2023,7,leclerc,Ferrari,19.0,11.0,0.0,Finished,0,Spanish Grand Prix,Barcelona,LEC
2023_7,2023,7,tsunoda,AlphaTauri,15.0,12.0,0.0,Finished,0,Spanish Grand Prix,Barcelona,TSU
2023_7,2023,7,piastri,McLaren,9.0,13.0,0.0,Lapped,0,Spanish Grand Prix,Barcelona,PIA
2023_7,2023,7,de_vries,AlphaTauri,14.0,14.0,0.0,Lapped,0,Spanish Grand Prix,Barcelona,DEV
2023_7,2023,7,hulkenberg,Haas F1 Team,7.0,15.0,0.0,Lapped,0,Spanish Grand Prix,Barcelona,HUL
2023_7,2023,7,albon,Williams,18.0,16.0,0.0,Lapped,0,Spanish Grand Prix,Barcelona,ALB
2023_7,2023,7,norris,McLaren,3.0,17.0,0.0,Lapped,0,Spanish Grand Prix,Barcelona,NOR
2023_7,2023,7,kevin_magnussen,Haas F1 Team,17.0,18.0,0.0,Lapped,0,Spanish Grand Prix,Barcelona,MAG
2023_7,2023,7,bottas,Alfa Romeo,16.0,19.0,0.0,Lapped,0,Spanish Grand Prix,Barcelona,BOT
2023_7,2023,7,sargeant,Williams,20.0,20.0,0.0,Lapped,0,Spanish Grand Prix,Barcelona,SAR
2023_8,2023,8,max_verstappen,Red Bull Racing,1.0,1.0,25.0,Finished,1,Canadian Grand Prix,Montréal,VER
2023_8,2023,8,alonso,Aston Martin,2.0,2.0,18.0,Finished,0,Canadian Grand Prix,Montréal,ALO
2023_8,2023,8,hamilton,Mercedes,3.0,3.0,15.0,Finished,0,Canadian Grand Prix,Montréal,HAM
2023_8,2023,8,leclerc,Ferrari,10.0,4.0,12.0,Finished,0,Canadian Grand Prix,Montréal,LEC
2023_8,2023,8,sainz,Ferrari,11.0,5.0,10.0,Finished,0,Canadian Grand Prix,Montréal,SAI
2023_8,2023,8,perez,Red Bull Racing,12.0,6.0,9.0,Finished,0,Canadian Grand Prix,Montréal,PER
2023_8,2023,8,albon,Williams,9.0,7.0,6.0,Finished,0,Canadian Grand Prix,Montréal,ALB
2023_8,2023,8,ocon,Alpine,6.0,8.0,4.0,Finished,0,Canadian Grand Prix,Montréal,OCO
2023_8,2023,8,stroll,Aston Martin,16.0,9.0,2.0,Finished,0,Canadian Grand Prix,Montréal,STR
2023_8,2023,8,bottas,Alfa Romeo,14.0,10.0,1.0,Finished,0,Canadian Grand Prix,Montréal,BOT
2023_8,2023,8,piastri,McLaren,8.0,11.0,0.0,Finished,0,Canadian Grand Prix,Montréal,PIA
2023_8,2023,8,gasly,Alpine,15.0,12.0,0.0,Finished,0,Canadian Grand Prix,Montréal,GAS
2023_8,2023,8,norris,McLaren,7.0,13.0,0.0,Finished,0,Canadian Grand Prix,Montréal,NOR
2023_8,2023,8,tsunoda,AlphaTauri,19.0,14.0,0.0,Finished,0,Canadian Grand Prix,Montréal,TSU
2023_8,2023,8,hulkenberg,Haas F1 Team,5.0,15.0,0.0,Lapped,0,Canadian Grand Prix,Montréal,HUL
2023_8,2023,8,zhou,Alfa Romeo,20.0,16.0,0.0,Lapped,0,Canadian Grand Prix,Montréal,ZHO
2023_8,2023,8,kevin_magnussen,Haas F1 Team,13.0,17.0,0.0,Lapped,0,Canadian Grand Prix,Montréal,MAG
2023_8,2023,8,de_vries,AlphaTauri,17.0,18.0,0.0,Lapped,0,Canadian Grand Prix,Montréal,DEV
2023_8,2023,8,russell,Mercedes,4.0,19.0,0.0,Retired,0,Canadian Grand Prix,Montréal,RUS
2023_8,2023,8,sargeant,Williams,18.0,20.0,0.0,Retired,0,Canadian Grand Prix,Montréal,SAR
